UID	row_clusters-flat	Haemophilus_influenzae_KR494_uid219323	Haemophilus_influenzae_F3031_uid62123	Haemophilus_influenzae_F3047_uid62097	Haemophilus_influenzae_PittEE_uid58591	Haemophilus_influenzae_R2846_uid161921	Haemophilus_influenzae_86_028NP_uid58093	Haemophilus_influenzae_PittGG_uid58593	Haemophilus_influenzae_R2866_uid161923	Haemophilus_influenzae_10810_uid86647	Haemophilus_influenzae_Rd_KW20_uid57771
column_clusters-flat		2	1	1	1	1	1	1	1	1	1
Haemophilus_influenzae_PittGG_uid58593	2	0.953001937914	0.970342516328	0.970794971702	0.971065876307	0.971392607516	0.973162891364	1.0	0.973287256216	0.974873506862	0.975105222538
Haemophilus_influenzae_R2866_uid161923	1	0.954018962527	0.969584549432	0.97082377591	0.971288564758	0.972193937676	0.973143313303	0.973287256216	1.0	0.975180520045	0.975796318238
Haemophilus_influenzae_86_028NP_uid58093	1	0.953955513377	0.969654470674	0.969640414433	0.973091966302	0.972809068951	1.0	0.973162891364	0.973143313303	0.974843939098	0.973772478034
Haemophilus_influenzae_Rd_KW20_uid57771	1	0.951650323556	0.97277006979	0.973101903775	0.970967110553	0.97188153535	0.973772478034	0.975105222538	0.975796318238	0.976986423732	1.0
Haemophilus_influenzae_10810_uid86647	1	0.952152394029	0.972592061659	0.972531071815	0.97173886114	0.972433219615	0.974843939098	0.974873506862	0.975180520045	1.0	0.976986423732
Haemophilus_influenzae_R2846_uid161921	1	0.953310119207	0.968622313771	0.968469691226	0.97754517827	1.0	0.972809068951	0.971392607516	0.972193937676	0.972433219615	0.97188153535
Haemophilus_influenzae_PittEE_uid58591	1	0.953069239228	0.968363542243	0.967956289642	1.0	0.97754517827	0.973091966302	0.971065876307	0.971288564758	0.97173886114	0.970967110553
Haemophilus_influenzae_F3047_uid62097	1	0.949283337919	0.976984695723	1.0	0.967956289642	0.968469691226	0.969640414433	0.970794971702	0.97082377591	0.972531071815	0.973101903775
Haemophilus_influenzae_F3031_uid62123	1	0.949626416458	1.0	0.976984695723	0.968363542243	0.968622313771	0.969654470674	0.970342516328	0.969584549432	0.972592061659	0.97277006979
Haemophilus_influenzae_KR494_uid219323	1	1.0	0.949626416458	0.949283337919	0.953069239228	0.953310119207	0.953955513377	0.953001937914	0.954018962527	0.952152394029	0.951650323556
