Query	Target	Value
Acinetobacter_baumannii_1564232_GCA_000584815_2_24_dna_genome	Acinetobacter_baumannii_AB307_0294_uid59271	0.890308886116
Acinetobacter_baumannii_1564232_GCA_000584815_2_24_dna_genome	Acinetobacter_baumannii_BJAB0715_uid210972	0.891163461183
Acinetobacter_baumannii_1564232_GCA_000584815_2_24_dna_genome	Acinetobacter_baumannii_BJAB07104_uid210971	0.890068504486
Acinetobacter_baumannii_1564232_GCA_000584815_2_24_dna_genome	Acinetobacter_baumannii_1656_2_uid158677	0.890334422439
Acinetobacter_baumannii_1564232_GCA_000584815_2_24_dna_genome	Acinetobacter_baumannii_TYTH_1_uid176498	0.890049416107
Acinetobacter_baumannii_1564232_GCA_000584815_2_24_dna_genome	Acinetobacter_baumannii_MDR_TJ_uid162739	0.890768462414
Acinetobacter_baumannii_1564232_GCA_000584815_2_24_dna_genome	Acinetobacter_baumannii_BJAB0868_uid210973	0.889691725213
Acinetobacter_baumannii_1564232_GCA_000584815_2_24_dna_genome	Acinetobacter_baumannii_ZW85_1_uid231518	0.89052475728
Acinetobacter_baumannii_1564232_GCA_000584815_2_24_dna_genome	Acinetobacter_baumannii_MDR_ZJ06_uid158685	0.890830433431
Acinetobacter_baumannii_AB307_0294_uid59271	Acinetobacter_baumannii_1451147_GCA_000681535_1_24_dna_genome	0.888688526258
Acinetobacter_baumannii_BJAB0715_uid210972	Acinetobacter_baumannii_1451147_GCA_000681535_1_24_dna_genome	0.889530796205
Acinetobacter_baumannii_1451147_GCA_000681535_1_24_dna_genome	Acinetobacter_baumannii_BJAB07104_uid210971	0.888899021063
Acinetobacter_baumannii_1451147_GCA_000681535_1_24_dna_genome	Acinetobacter_baumannii_1656_2_uid158677	0.889159733565
Acinetobacter_baumannii_1451147_GCA_000681535_1_24_dna_genome	Acinetobacter_baumannii_TYTH_1_uid176498	0.889331538295
Acinetobacter_baumannii_1451147_GCA_000681535_1_24_dna_genome	Acinetobacter_baumannii_MDR_TJ_uid162739	0.88928405846
Acinetobacter_baumannii_1451147_GCA_000681535_1_24_dna_genome	Acinetobacter_baumannii_BJAB0868_uid210973	0.888826705642
Acinetobacter_baumannii_1451147_GCA_000681535_1_24_dna_genome	Acinetobacter_baumannii_ZW85_1_uid231518	0.889181527527
Acinetobacter_baumannii_1451147_GCA_000681535_1_24_dna_genome	Acinetobacter_baumannii_MDR_ZJ06_uid158685	0.889479644458
