UID	row_clusters-flat	Acinetobacter_baumannii_272263_GCA_000581215_1_24_dna_genome	Acinetobacter_baumannii_1461402_GCA_000580635_1_24_dna_genome	Acinetobacter_baumannii_869535_GCA_000581035_1_24_dna_genome	ERR190426	Acinetobacter_baumannii_1179249_GCA_000587995_1_24_dna_genome	ERR197603	ERR190413	ERR249214	ERR190412	ERR110074	ERR246890	ERR246919	SRR387325	ERR246818	ERR190463	ERR197641	ERR197559	ERR110085	ERR356249	Acinetobacter_baumannii_826659_GCA_000588515_1_24_dna_genome	Acinetobacter_baumannii_1295259_GCA_000581095_1_24_dna_genome	Acinetobacter_baumannii_1542444_GCA_000581835_1_24_dna_genome	Acinetobacter_baumannii_1578804_GCA_000582075_1_24_dna_genome	Acinetobacter_baumannii_1264765_GCA_000681815_1_24_dna_genome	Acinetobacter_baumannii_1294243_GCA_000588015_1_24_dna_genome	Acinetobacter_pittii_cip_70_29_GCA_000369045_1_24_dna_genome	Acinetobacter_pittii_42f_GCA_000529235_1_24_dna_genome	Acinetobacter_baumannii_1289694_GCA_000580855_1_24_dna_genome	Acinetobacter_calcoaceticus_anc_3680_GCA_000368945_1_24_dna_genome	Acinetobacter_calcoaceticus_dsm_30006_cip_81_8_GCA_000368965_1_24_dna_genome	Acinetobacter_calcoaceticus_niph_13_GCA_000367865_1_24_dna_genome	Acinetobacter_pittii_anc_4050_GCA_000399685_1_24_dna_genome	Acinetobacter_calcoaceticus_anc_3811_GCA_000399665_1_24_dna_genome	Acinetobacter_baumannii_wc_141_GCA_000313935_1_24_dna_genome
column_clusters-flat		3	3	3	2	3	2	3	2	2	3	3	3	2	2	2	2	3	2	3	3	3	1	2	2	3	1	3	2	2	1	2	3	3	2
Acinetobacter_baumannii_wc_141_GCA_000313935_1_24_dna_genome	3	0.854578467494	0.86593746466	0.864453243183	0.88294174156	0.880106549675	0.879501683093	0.880941273094	0.87891484727	0.879977240888	0.880768227978	0.880422217621	0.880108647715	0.881056802965	0.880427314083	0.884659893135	0.916447848286	0.923144596037	0.928062015504	0.909459466598	0.910346804595	0.912940752428	0.910925711118	0.911155264292	0.910604469822	0.911674825164	0.910572346713	0.91194377371	0.91336518341	0.918095909529	0.917990052645	0.918278589952	0.90982366167	0.9282372789	1.0
Acinetobacter_calcoaceticus_anc_3811_GCA_000399665_1_24_dna_genome	3	0.837773717391	0.83871428757	0.839009762219	0.87759679212	0.87918144083	0.877932697588	0.878231752307	0.877470655107	0.877630560865	0.878211626416	0.878058629815	0.877945960697	0.87810685107	0.878094788162	0.88331373649	0.916441409399	0.914266769413	0.941243459526	0.906908259532	0.908396621688	0.907902412254	0.908366566642	0.907663298824	0.908434216383	0.909198245308	0.909039665964	0.908027689242	0.907523989748	0.923203342366	0.923315257457	0.923174945157	0.907431487509	1.0	0.9282372789
Acinetobacter_pittii_anc_4050_GCA_000399685_1_24_dna_genome	3	0.839623828604	0.838691057484	0.840545188119	0.884677154183	0.881632274124	0.881424441337	0.881520425947	0.881811748054	0.881479273783	0.883738068073	0.884813124813	0.884596006576	0.884109304599	0.885377129903	0.88420331003	0.924840537044	0.921164760766	0.902518769678	0.923830482944	0.92720671512	0.926691896405	0.927328560864	0.925524611988	0.926477853687	0.925850790284	0.927143168283	0.926797434166	0.92580649721	0.900175149014	0.89940973621	0.899908995911	1.0	0.907431487509	0.90982366167
Acinetobacter_calcoaceticus_niph_13_GCA_000367865_1_24_dna_genome	2	0.839089611065	0.836531858639	0.8385583468	0.875941692329	0.87432367968	0.873872215445	0.873586361673	0.873665572541	0.873602524737	0.874849438538	0.875110895075	0.874588450285	0.874851120471	0.875196452388	0.87668212918	0.918563796506	0.912359395487	0.906429721647	0.901142740202	0.901815820497	0.901102845179	0.901815491729	0.900933664595	0.901674370273	0.901501055872	0.902145918435	0.901181873347	0.901194276127	0.964510176744	0.969754830469	1.0	0.899908995911	0.923174945157	0.918278589952
Acinetobacter_calcoaceticus_dsm_30006_cip_81_8_GCA_000368965_1_24_dna_genome	3	0.837716561652	0.838788689184	0.84049667241	0.873570238103	0.873775859805	0.873837621443	0.873228719204	0.873221271057	0.873236439542	0.874642055819	0.874683866287	0.874584804	0.874813077979	0.874711507774	0.876417986732	0.914657360406	0.915365210191	0.897373379142	0.90067420112	0.901653564437	0.900681955639	0.901302446641	0.900626688433	0.901412117277	0.901147202698	0.901515864796	0.900899839407	0.900618517554	0.963201089462	1.0	0.969754830469	0.89940973621	0.923315257457	0.917990052645
Acinetobacter_calcoaceticus_anc_3680_GCA_000368945_1_24_dna_genome	2	0.8384007661	0.837358749297	0.838807165147	0.874614611151	0.87401302497	0.875133086223	0.874746570296	0.874039521479	0.874183517766	0.875778722884	0.875664694987	0.875513338503	0.876011147601	0.875760192101	0.878035800231	0.916780131801	0.914985641241	0.906418422342	0.901587200208	0.901972513077	0.901764383535	0.902303677801	0.901451166981	0.902329544599	0.902147733411	0.903986848412	0.901771544653	0.901469787861	1.0	0.963201089462	0.964510176744	0.900175149014	0.923203342366	0.918095909529
Acinetobacter_baumannii_1289694_GCA_000580855_1_24_dna_genome	3	0.858636172107	0.869823742846	0.868704497603	0.892917722732	0.886679457031	0.887378934928	0.88728941656	0.886716795124	0.886869706862	0.889449306726	0.891401131236	0.890256615735	0.889980912884	0.890764676206	0.889326079803	0.922815224325	0.930746722846	0.925304545905	0.950468002711	0.962787483098	0.965969680905	0.964619244242	0.968354321781	0.968213728239	0.969668272912	0.975015037396	0.98648538347	1.0	0.901469787861	0.900618517554	0.901194276127	0.92580649721	0.907523989748	0.91336518341
Acinetobacter_pittii_42f_GCA_000529235_1_24_dna_genome	2	0.852903087835	0.858401149146	0.857156217586	0.888972532156	0.886474606861	0.892664247581	0.886520817355	0.892356927867	0.886545941504	0.888941624921	0.889574289746	0.889720349335	0.888833389447	0.889920357828	0.889123263983	0.936123748863	0.92640291767	0.914092563703	0.950801634706	0.962879958217	0.96595367257	0.965033552431	0.969142226086	0.970158384614	0.969479148463	0.975936875514	1.0	0.98648538347	0.901771544653	0.900899839407	0.901181873347	0.926797434166	0.908027689242	0.91194377371
Acinetobacter_pittii_cip_70_29_GCA_000369045_1_24_dna_genome	2	0.840818173472	0.84443246243	0.843695012759	0.887293855543	0.890423395434	0.887264604021	0.886834293297	0.886290185887	0.886356495492	0.888869238763	0.888648803751	0.888671470846	0.889862670283	0.889439438358	0.888799759485	0.927824647802	0.926098310292	0.942176487172	0.950549932067	0.963366607349	0.967759558849	0.965984951152	0.969782716625	0.969834191579	0.970390702518	1.0	0.975936875514	0.975015037396	0.903986848412	0.901515864796	0.902145918435	0.927143168283	0.909039665964	0.910572346713
